Dates;All_Bonds_TR
9/1/2000;101,4283
9/4/2000;101,4031
9/5/2000;101,3234
9/6/2000;101,1622
9/7/2000;101,1622
9/8/2000;101,0659
9/11/2000;101,1134
9/12/2000;101,0705
9/13/2000;101,1132
9/14/2000;101,1673
9/15/2000;101,0896
9/18/2000;100,9089
9/19/2000;101,0529
9/20/2000;101,0909
9/21/2000;101,0909
9/22/2000;101,0909
9/25/2000;101,0909
9/26/2000;101,0909
9/27/2000;101,0909
9/28/2000;101,0909
9/29/2000;101,0909
10/2/2000;101,5743
10/3/2000;101,5828
10/4/2000;101,5268
10/5/2000;101,4377
10/6/2000;101,538
10/9/2000;101,7427
10/10/2000;101,732
10/11/2000;102,0184
10/12/2000;102,0672
10/13/2000;102,0299
10/16/2000;101,9457
10/17/2000;101,9402
10/18/2000;101,9694
10/19/2000;101,9916
10/20/2000;101,957
10/23/2000;101,957
10/24/2000;102,0305
10/25/2000;102,0305
10/26/2000;102,0305
10/27/2000;102,0305
10/30/2000;102,0305
10/31/2000;102,0305
11/1/2000;102,1362
11/2/2000;102,1397
11/3/2000;102,1544
11/6/2000;102,0922
11/7/2000;102,0922
11/8/2000;101,9665
11/9/2000;102,1069
11/10/2000;102,1921
11/13/2000;102,3344
11/14/2000;102,3525
11/15/2000;102,3954
11/16/2000;102,529
11/17/2000;102,5214
11/20/2000;102,5846
11/21/2000;102,5846
11/22/2000;102,5846
11/23/2000;102,5846
11/24/2000;102,874
11/27/2000;102,874
11/28/2000;102,874
11/29/2000;102,874
11/30/2000;102,874
12/1/2000;103,5974
12/4/2000;103,8377
12/5/2000;103,8739
12/6/2000;103,9446
12/7/2000;103,9446
12/8/2000;103,8714
12/11/2000;103,8115
12/12/2000;103,7961
12/13/2000;104,0904
12/14/2000;104,336
12/15/2000;104,5751
12/18/2000;104,7297
12/19/2000;104,4881
12/20/2000;104,6019
12/21/2000;104,6019
12/22/2000;104,6019
12/25/2000;104,6019
12/26/2000;104,6019
12/27/2000;104,6019
12/28/2000;104,6019
12/29/2000;104,6019
1/1/2001;104,9883
1/2/2001;105,6264
1/3/2001;105,7282
1/4/2001;105,6756
1/5/2001;105,8967
1/8/2001;105,8967
1/9/2001;105,5947
1/10/2001;105,3266
1/11/2001;105,5113
1/12/2001;105,1311
1/15/2001;105,1968
1/16/2001;105,0949
1/17/2001;105,1948
1/18/2001;105,3175
1/19/2001;105,245
1/22/2001;105,245
1/23/2001;105,245
1/24/2001;105,245
1/25/2001;105,245
1/26/2001;105,245
1/29/2001;105,245
1/30/2001;105,245
1/31/2001;105,245
2/1/2001;105,6904
2/2/2001;105,7462
2/5/2001;105,8895
2/6/2001;105,8534
2/7/2001;105,9721
2/8/2001;105,9721
2/9/2001;105,9731
2/12/2001;105,987
2/13/2001;105,987
2/14/2001;105,8893
2/15/2001;105,5881
2/16/2001;105,7184
2/19/2001;105,8093
2/20/2001;105,7531
2/21/2001;105,6333
2/22/2001;105,6333
2/23/2001;105,6333
2/26/2001;105,6333
2/27/2001;105,6333
2/28/2001;105,6333
3/1/2001;106,2245
3/2/2001;106,3023
3/5/2001;106,1615
3/6/2001;106,2572
3/7/2001;106,2811
