Dates;FTSE_MIB_INDEX
9/1/2000;48322
9/4/2000;48564
9/5/2000;48322
9/6/2000;48357
9/7/2000;48635
9/8/2000;48059
9/11/2000;48256
9/12/2000;48071
9/13/2000;47551
9/14/2000;47793
9/15/2000;47258
9/18/2000;46722
9/19/2000;46641
9/20/2000;45699
9/21/2000;45143
9/22/2000;45572
9/25/2000;45921
9/26/2000;45621
9/27/2000;45780
9/28/2000;45594
9/29/2000;45419
10/2/2000;45941
10/3/2000;45958
10/4/2000;45663
10/5/2000;45699
10/6/2000;45031
10/9/2000;44333
10/10/2000;44608
10/11/2000;43657
10/12/2000;43452
10/13/2000;44291
10/16/2000;44367
10/17/2000;44150
10/18/2000;44030
10/19/2000;45114
10/20/2000;45394
10/23/2000;45719
10/24/2000;46297
10/25/2000;46151
10/26/2000;46077
10/27/2000;46805
10/30/2000;46953
10/31/2000;47459
11/1/2000;48047
11/2/2000;47876
11/3/2000;47937
11/6/2000;48220
11/7/2000;48335
11/8/2000;48056
11/9/2000;47988
11/10/2000;47263
11/13/2000;46539
11/14/2000;47854
11/15/2000;48437
11/16/2000;48012
11/17/2000;47817
11/20/2000;47071
11/21/2000;47366
11/22/2000;46402
11/23/2000;46880
11/24/2000;47654
11/27/2000;47624
11/28/2000;47219
11/29/2000;47563
11/30/2000;46290
12/1/2000;46426
12/4/2000;45155
12/5/2000;46102
12/6/2000;45707
12/7/2000;45358
12/8/2000;45548
12/11/2000;45794
12/12/2000;45731
12/13/2000;45272
12/14/2000;44467
12/15/2000;43603
12/18/2000;43391
12/19/2000;44291
12/20/2000;43222
12/21/2000;42942
12/22/2000;43347
12/25/2000;43347
12/26/2000;43347
12/27/2000;43967
12/28/2000;44213
12/29/2000;43662
1/1/2001;43662
1/2/2001;42759
1/3/2001;41746
1/4/2001;42676
1/5/2001;42795
1/8/2001;42651
1/9/2001;42627
1/10/2001;42747
1/11/2001;43403
1/12/2001;44037
1/15/2001;44047
1/16/2001;43576
1/17/2001;44735
1/18/2001;44630
1/19/2001;44418
1/22/2001;44499
1/23/2001;44201
1/24/2001;44779
1/25/2001;44818
1/26/2001;44635
1/29/2001;44484
1/30/2001;44784
1/31/2001;45067
2/1/2001;44579
2/2/2001;44101
2/5/2001;43715
2/6/2001;43740
2/7/2001;43139
2/8/2001;43183
2/9/2001;42549
2/12/2001;43198
2/13/2001;43057
2/14/2001;42449
2/15/2001;42776
2/16/2001;41856
2/19/2001;41919
2/20/2001;41270
2/21/2001;40938
2/22/2001;40563
2/23/2001;39884
2/26/2001;40287
2/27/2001;40089
2/28/2001;40036
3/1/2001;39338
3/2/2001;39030
3/5/2001;38994
3/6/2001;39787
3/7/2001;40014
3/8/2001;40019
3/9/2001;39277
3/12/2001;38174
3/13/2001;38179
3/14/2001;37808
3/15/2001;38103
3/16/2001;37439
3/19/2001;37466
3/20/2001;38003
3/21/2001;37576
3/22/2001;35919
3/23/2001;37000
3/26/2001;37952
3/27/2001;38930
3/28/2001;38381
3/29/2001;38952
3/30/2001;38996
4/2/2001;39069
4/3/2001;37940
4/4/2001;38376
4/5/2001;38986
4/6/2001;39064
4/9/2001;39460
4/10/2001;39889
4/11/2001;39718
4/12/2001;39926
4/13/2001;39926
4/16/2001;39926
4/17/2001;39987
4/18/2001;40824
4/19/2001;40614
4/20/2001;40292
4/23/2001;39574
4/24/2001;40060
4/25/2001;40133
4/26/2001;40036
4/27/2001;40470
4/30/2001;41121
5/1/2001;41121
5/2/2001;41124
5/3/2001;40104
5/4/2001;40228
5/7/2001;40377
5/8/2001;40160
5/9/2001;39682
5/10/2001;40136
5/11/2001;40162
5/14/2001;40294
5/15/2001;40050
5/16/2001;39958
5/17/2001;39899
5/18/2001;40043
5/21/2001;39765
5/22/2001;40355
5/23/2001;40150
5/24/2001;40531
5/25/2001;40119
5/28/2001;40287
5/29/2001;39855
5/30/2001;39101
5/31/2001;38996
6/1/2001;38747
6/4/2001;38552
6/5/2001;38986
6/6/2001;38547
6/7/2001;38867
6/8/2001;39184
6/11/2001;39096
6/12/2001;38425
6/13/2001;38554
6/14/2001;37852
6/15/2001;37469
6/18/2001;36900
6/19/2001;37061
6/20/2001;36683
6/21/2001;36402
6/22/2001;36629
6/25/2001;36993
6/26/2001;36568
6/27/2001;36700
6/28/2001;37159
6/29/2001;37315
7/2/2001;38130
7/3/2001;37842
7/4/2001;37703
7/5/2001;37625
7/6/2001;36802
7/9/2001;36846
7/10/2001;36629
7/11/2001;36180
7/12/2001;36205
7/13/2001;36336
7/16/2001;36253
7/17/2001;35641
7/18/2001;35153
7/19/2001;35646
7/20/2001;35475
7/23/2001;35707
7/24/2001;35616
7/25/2001;35355
7/26/2001;35575
7/27/2001;36070
7/30/2001;36400
7/31/2001;36507
8/1/2001;36744
8/2/2001;36527
8/3/2001;36458
8/6/2001;36788
8/7/2001;36861
8/8/2001;36593
8/9/2001;36275
8/10/2001;35738
8/13/2001;35904
8/14/2001;36202
8/15/2001;36202
8/16/2001;35800
8/17/2001;35092
8/20/2001;35050
8/21/2001;35109
8/22/2001;35243
8/23/2001;35377
8/24/2001;35990
8/27/2001;35875
8/28/2001;35538
8/29/2001;35643
8/30/2001;34906
8/31/2001;34643
9/3/2001;34304
9/4/2001;34287
9/5/2001;33176
9/6/2001;32047
9/7/2001;31805
9/10/2001;31512
9/11/2001;29128
9/12/2001;29253
9/13/2001;29643
9/14/2001;27681
9/17/2001;27698
9/18/2001;27135
9/19/2001;26515
9/20/2001;25146
9/21/2001;23896
9/24/2001;25790
9/25/2001;26542
9/26/2001;27091
9/27/2001;27645
9/28/2001;29001
10/1/2001;28250
10/2/2001;28596
10/3/2001;28904
10/4/2001;29828
10/5/2001;29070
10/8/2001;29570
10/9/2001;29265
10/10/2001;30270
10/11/2001;30939
10/12/2001;30341
10/15/2001;29763
10/16/2001;30282
10/17/2001;30939
10/18/2001;30646
10/19/2001;29987
10/22/2001;30729
10/23/2001;31676
10/24/2001;31678
10/25/2001;30900
10/26/2001;31790
10/29/2001;31295
10/30/2001;30063
10/31/2001;30595
11/1/2001;30658
11/2/2001;30543
11/5/2001;31224
11/6/2001;30765
11/7/2001;31107
11/8/2001;31759
11/9/2001;31471
11/12/2001;30580
11/13/2001;31556
11/14/2001;31527
11/15/2001;31766
11/16/2001;32220
11/19/2001;33030
11/20/2001;32442
11/21/2001;32410
11/22/2001;32640
11/23/2001;32737
11/26/2001;32486
11/27/2001;31883
11/28/2001;31788
11/29/2001;31912
11/30/2001;31885
12/3/2001;31593
12/4/2001;32003
12/5/2001;33225
12/6/2001;33364
12/7/2001;33171
12/10/2001;32364
12/11/2001;32408
12/12/2001;31939
12/13/2001;31144
12/14/2001;30997
12/17/2001;32003
12/18/2001;31759
12/19/2001;31437
12/20/2001;31002
12/21/2001;31729
12/24/2001;31729
12/25/2001;31729
12/26/2001;31729
12/27/2001;32271
12/28/2001;32317
12/31/2001;32317
1/1/2002;32317
1/2/2002;32044
1/3/2002;32764
1/4/2002;32625
1/7/2002;32330
1/8/2002;32493
1/9/2002;32661
1/10/2002;31966
1/11/2002;32176
1/14/2002;31351
1/15/2002;31795
1/16/2002;31307
1/17/2002;31693
1/18/2002;31798
1/21/2002;31402
1/22/2002;31639
1/23/2002;31734
1/24/2002;31993
1/25/2002;32142
1/28/2002;32476
1/29/2002;32266
1/30/2002;32049
1/31/2002;32171
2/1/2002;32117
2/4/2002;31593
2/5/2002;31036
2/6/2002;30524
2/7/2002;30707
2/8/2002;30812
2/11/2002;30753
2/12/2002;30517
2/13/2002;31007
2/14/2002;31344
2/15/2002;30968
2/18/2002;30817
2/19/2002;30153
2/20/2002;30033
2/21/2002;30351
2/22/2002;30119
2/25/2002;30524
2/26/2002;30707
2/27/2002;31754
2/28/2002;31820
3/1/2002;32069
3/4/2002;32886
3/5/2002;32766
3/6/2002;33047
3/7/2002;32949
3/8/2002;33289
3/11/2002;33049
3/12/2002;32752
3/13/2002;33001
3/14/2002;33174
3/15/2002;33301
3/18/2002;33176
3/19/2002;33530
3/20/2002;33240
3/21/2002;33320
3/22/2002;33442
3/25/2002;33067
3/26/2002;33279
3/27/2002;33118
3/28/2002;33679
3/29/2002;33679
4/1/2002;33679
4/2/2002;33520
4/3/2002;33616
4/4/2002;33215
4/5/2002;33225
4/8/2002;32483
4/9/2002;32666
4/10/2002;33062
4/11/2002;32527
4/12/2002;32683
4/15/2002;32769
4/16/2002;33706
4/17/2002;33594
4/18/2002;33406
4/19/2002;33557
4/22/2002;33220
4/23/2002;33213
4/24/2002;33215
4/25/2002;32730
4/26/2002;32578
4/29/2002;32544
4/30/2002;32474
5/1/2002;32474
5/2/2002;31881
5/3/2002;31534
5/6/2002;31566
5/7/2002;31332
5/8/2002;31961
5/9/2002;31544
5/10/2002;31129
5/13/2002;31588
5/14/2002;32122
5/15/2002;32130
5/16/2002;32110
5/17/2002;31942
5/20/2002;31280
5/21/2002;31312
5/22/2002;30992
5/23/2002;30909
5/24/2002;30768
5/27/2002;30856
5/28/2002;30836
5/29/2002;30726
5/30/2002;30251
5/31/2002;30143
6/3/2002;29736
6/4/2002;28989
6/5/2002;28994
6/6/2002;28789
6/7/2002;28525
6/10/2002;28782
6/11/2002;29516
6/12/2002;28957
6/13/2002;28384
6/14/2002;27854
6/17/2002;28872
6/18/2002;28894
6/19/2002;28594
6/20/2002;27879
6/21/2002;27791
6/24/2002;27039
6/25/2002;27442
6/26/2002;27117
6/27/2002;27244
6/28/2002;28091
7/1/2002;28250
7/2/2002;27405
7/3/2002;26827
7/4/2002;27034
7/5/2002;28186
7/8/2002;28091
7/9/2002;27984
7/10/2002;27371
7/11/2002;26532
7/12/2002;26307
7/15/2002;25170
7/16/2002;25256
7/17/2002;25763
7/18/2002;26195
7/19/2002;25114
7/22/2002;24072
7/23/2002;23752
7/24/2002;23496
7/25/2002;23833
7/26/2002;23918
7/29/2002;25073
7/30/2002;25126
7/31/2002;25295
8/1/2002;24511
8/2/2002;24338
8/5/2002;23823
8/6/2002;24763
8/7/2002;24494
8/8/2002;25224
8/9/2002;25592
8/12/2002;25136
8/13/2002;25429
8/14/2002;24626
8/15/2002;24626
8/16/2002;25524
8/19/2002;26388
8/20/2002;26168
8/21/2002;26400
8/22/2002;26768
8/23/2002;26434
8/26/2002;26310
8/27/2002;26947
8/28/2002;25980
8/29/2002;25378
8/30/2002;25553
9/2/2002;25151
9/3/2002;24221
9/4/2002;24502
9/5/2002;24265
9/6/2002;24904
9/9/2002;24362
