Dates;GOLD_SPOT_$_OZ
9/1/2000;276,75
9/4/2000;277
9/5/2000;275,55
9/6/2000;274,45
9/7/2000;273,8
9/8/2000;273,05
9/11/2000;273,43
9/12/2000;273
9/13/2000;272,75
9/14/2000;272,55
9/15/2000;272,45
9/18/2000;271,8
9/19/2000;272,15
9/20/2000;269,35
9/21/2000;270,65
9/22/2000;272,15
9/25/2000;274,3
9/26/2000;274,35
9/27/2000;278,57
9/28/2000;275,25
9/29/2000;274,25
10/2/2000;273,45
10/3/2000;272,25
10/4/2000;270,75
10/5/2000;269,65
10/6/2000;269,65
10/9/2000;270,6
10/10/2000;272,75
10/11/2000;271,15
10/12/2000;276,55
10/13/2000;272,65
10/16/2000;272
10/17/2000;271,25
10/18/2000;270,65
10/19/2000;270,8
10/20/2000;271,55
10/23/2000;270,25
10/24/2000;270,65
10/25/2000;266,75
10/26/2000;265,15
10/27/2000;264,55
10/30/2000;264,5
10/31/2000;265,15
11/1/2000;264,8
11/2/2000;264,75
11/3/2000;265,15
11/6/2000;265,05
11/7/2000;264,45
11/8/2000;265,05
11/9/2000;265,95
11/10/2000;264,75
11/13/2000;264,35
11/14/2000;264,65
11/15/2000;265
11/16/2000;266,5
11/17/2000;265,75
11/20/2000;266,35
11/21/2000;265,85
11/22/2000;266,55
11/23/2000;265,85
11/24/2000;266,35
11/27/2000;270
11/28/2000;269,6
11/29/2000;266,55
11/30/2000;270,45
12/1/2000;269,4
12/4/2000;271,2
12/5/2000;270,55
12/6/2000;274,75
12/7/2000;273,85
12/8/2000;272,8
12/11/2000;270,85
12/12/2000;270,95
12/13/2000;269,05
12/14/2000;269,55
12/15/2000;270,95
12/18/2000;270,15
12/19/2000;270,25
12/20/2000;272,85
12/21/2000;274,15
12/22/2000;273,95
12/25/2000;273,8
12/26/2000;274,45
12/27/2000;275,25
12/28/2000;272,25
12/29/2000;272,25
1/1/2001;272,5
1/2/2001;269,25
1/3/2001;268,15
1/4/2001;267,55
1/5/2001;268,15
1/8/2001;268,35
1/9/2001;267,75
1/10/2001;264,95
1/11/2001;264,25
1/12/2001;264,3
1/15/2001;263,65
1/16/2001;263,55
1/17/2001;263,55
1/18/2001;264,55
1/19/2001;264,75
1/22/2001;266,95
1/23/2001;266,55
1/24/2001;264,7
1/25/2001;264,95
1/26/2001;263,05
1/29/2001;263,05
1/30/2001;265,9
1/31/2001;265,85
2/1/2001;268,75
2/2/2001;267,55
2/5/2001;265,65
2/6/2001;263,75
2/7/2001;263,35
2/8/2001;260,65
2/9/2001;260,65
2/12/2001;261,35
2/13/2001;260,95
2/14/2001;259,85
