Dates;MSCI_EM
9/1/2000;423,72
9/4/2000;427,74
9/5/2000;426,93
9/6/2000;424,64
9/7/2000;420,77
9/8/2000;419,29
9/11/2000;414,47
9/12/2000;411,15
9/13/2000;411,81
9/14/2000;410,13
9/15/2000;405,85
9/18/2000;390,6
9/19/2000;387,91
9/20/2000;392,51
9/21/2000;387,78
9/22/2000;377,62
9/25/2000;386,62
9/26/2000;385,84
9/27/2000;385,77
9/28/2000;385,67
9/29/2000;386,03
10/2/2000;380,94
10/3/2000;381,39
10/4/2000;380,76
10/5/2000;382,64
10/6/2000;383,29
10/9/2000;376,5
10/10/2000;374,48
10/11/2000;365,17
10/12/2000;358,27
10/13/2000;355,18
10/16/2000;358,6
10/17/2000;353,03
10/18/2000;346,36
10/19/2000;350,91
10/20/2000;358,51
10/23/2000;355,93
10/24/2000;359,64
10/25/2000;356,64
10/26/2000;355,09
10/27/2000;357,06
10/30/2000;354,29
10/31/2000;357,85
11/1/2000;363,26
11/2/2000;367,46
11/3/2000;369,45
11/6/2000;370,15
11/7/2000;372,38
11/8/2000;370,66
11/9/2000;367,11
11/10/2000;365,18
11/13/2000;353,95
11/14/2000;359,67
11/15/2000;360,15
11/16/2000;355,9
11/17/2000;353,97
11/20/2000;346,49
11/21/2000;346,74
11/22/2000;338,76
11/23/2000;334,76
11/24/2000;338,9
11/27/2000;343,23
11/28/2000;336,64
11/29/2000;332,62
11/30/2000;326,36
12/1/2000;329,31
12/4/2000;328,09
12/5/2000;338,08
12/6/2000;343,64
12/7/2000;342,54
12/8/2000;348,24
12/11/2000;351,64
12/12/2000;349,03
12/13/2000;349,46
12/14/2000;346,89
12/15/2000;340,92
12/18/2000;342,18
12/19/2000;339,99
12/20/2000;332,52
12/21/2000;328,5
12/22/2000;330,81
12/25/2000;331,14
12/26/2000;329,25
12/27/2000;329,99
12/28/2000;333,27
12/29/2000;333,79
1/1/2001;333,46
1/2/2001;333,35
1/3/2001;335,52
1/4/2001;347,23
1/5/2001;348,56
1/8/2001;348,12
1/9/2001;351,87
1/10/2001;349,46
1/11/2001;350,26
1/12/2001;353,23
1/15/2001;354,72
1/16/2001;356,39
1/17/2001;360,19
1/18/2001;365,01
1/19/2001;370,48
1/22/2001;370,36
1/23/2001;372,29
1/24/2001;371,82
1/25/2001;372,2
1/26/2001;370,79
1/29/2001;369,83
1/30/2001;373,27
1/31/2001;379,02
2/1/2001;377,64
2/2/2001;376,73
2/5/2001;370,33
2/6/2001;371,5
2/7/2001;365,51
2/8/2001;367,76
2/9/2001;368,18
2/12/2001;368,65
2/13/2001;370,43
2/14/2001;369,06
2/15/2001;372,71
2/16/2001;369,21
2/19/2001;365,83
2/20/2001;366,33
2/21/2001;357,03
2/22/2001;350,42
2/23/2001;348,09
2/26/2001;351,24
2/27/2001;350,1
2/28/2001;349,02
3/1/2001;347,34
3/2/2001;344,01
3/5/2001;345,75
3/6/2001;348,58
3/7/2001;349,53
3/8/2001;350,59
3/9/2001;346,43
3/12/2001;335,08
3/13/2001;332,02
3/14/2001;328,62
3/15/2001;328,96
3/16/2001;326,44
3/19/2001;323,25
3/20/2001;322,48
3/21/2001;322,22
3/22/2001;315
3/23/2001;317,19
3/26/2001;322,4
3/27/2001;321,88
3/28/2001;319,33
3/29/2001;313,62
3/30/2001;313,14
4/2/2001;308,08
4/3/2001;300,85
4/4/2001;297,01
4/5/2001;302,06
4/6/2001;304,98
4/9/2001;303,4
4/10/2001;306,43
4/11/2001;310,72
4/12/2001;312,45
4/13/2001;312,83
4/16/2001;310,32
4/17/2001;310,02
4/18/2001;319,49
4/19/2001;324,23
4/20/2001;319,11
4/23/2001;317,57
4/24/2001;317,98
4/25/2001;318,98
4/26/2001;322,33
4/27/2001;323,73
4/30/2001;327,71
5/1/2001;327,66
5/2/2001;331,06
5/3/2001;331,43
5/4/2001;329,55
5/7/2001;330,06
5/8/2001;328,56
5/9/2001;328,33
5/10/2001;328,15
5/11/2001;326,97
5/14/2001;323,23
5/15/2001;321,62
5/16/2001;323,19
5/17/2001;332,06
5/18/2001;333,5
5/21/2001;335,4
5/22/2001;337,03
5/23/2001;338,32
5/24/2001;337,12
5/25/2001;335,56
5/28/2001;335,38
5/29/2001;334,58
5/30/2001;331,16
5/31/2001;330,54
6/1/2001;329,44
6/4/2001;330,48
6/5/2001;329,2
6/6/2001;330,71
6/7/2001;331,38
6/8/2001;334,64
6/11/2001;332,67
6/12/2001;331,57
6/13/2001;331,01
6/14/2001;329,13
6/15/2001;326,99
6/18/2001;320,52
6/19/2001;320,42
6/20/2001;319,31
6/21/2001;321,9
6/22/2001;322,63
6/25/2001;322,28
6/26/2001;320,88
6/27/2001;321,25
6/28/2001;319,27
6/29/2001;322,89
7/2/2001;323,54
7/3/2001;320,84
7/4/2001;318,23
7/5/2001;316,43
7/6/2001;311,42
7/9/2001;309,33
7/10/2001;307,2
7/11/2001;300,91
7/12/2001;303,53
7/13/2001;301,84
7/16/2001;299,16
7/17/2001;299,22
7/18/2001;297,38
7/19/2001;297,98
7/20/2001;297,69
7/23/2001;297,55
7/24/2001;295,56
7/25/2001;295,72
7/26/2001;298,64
7/27/2001;299,95
7/30/2001;300,77
7/31/2001;301,67
8/1/2001;303,43
8/2/2001;306,95
8/3/2001;306,89
8/6/2001;304,75
8/7/2001;302,82
8/8/2001;303,18
8/9/2001;300,5
8/10/2001;301,69
8/13/2001;302,85
8/14/2001;305,93
8/15/2001;305,69
8/16/2001;304,97
8/17/2001;300,45
8/20/2001;297,4
8/21/2001;297,65
8/22/2001;298,57
8/23/2001;298,25
8/24/2001;298,74
8/27/2001;302,38
8/28/2001;301,35
8/29/2001;301,87
8/30/2001;300,11
8/31/2001;298,17
9/3/2001;295,38
9/4/2001;297,06
9/5/2001;294,99
9/6/2001;291,19
9/7/2001;290,16
9/10/2001;287,61
9/11/2001;278,11
9/12/2001;270,76
9/13/2001;267,31
9/14/2001;260,87
9/17/2001;256,59
9/18/2001;257,86
9/19/2001;259,71
9/20/2001;252,36
9/21/2001;245,64
9/24/2001;248,39
9/25/2001;247,28
9/26/2001;247,49
9/27/2001;247,52
9/28/2001;251,4
10/1/2001;250,29
10/2/2001;248,33
10/3/2001;247,05
10/4/2001;251,93
10/5/2001;252,79
10/8/2001;249,87
10/9/2001;254,21
10/10/2001;257,17
10/11/2001;264,2
10/12/2001;262,86
10/15/2001;261,74
10/16/2001;264,25
10/17/2001;266,36
10/18/2001;263,37
10/19/2001;264,01
10/22/2001;265,11
10/23/2001;266,97
10/24/2001;270,25
10/25/2001;270,15
10/26/2001;271,53
10/29/2001;270,75
10/30/2001;265,63
10/31/2001;266,86
11/1/2001;268,1
11/2/2001;269,96
11/5/2001;274,96
11/6/2001;275,79
11/7/2001;275,3
11/8/2001;278,85
