Dates;MSCI_EURO
9/1/2000;1526,24
9/4/2000;1550,84
9/5/2000;1532,46
9/6/2000;1522,52
9/7/2000;1531,86
9/8/2000;1506,4
9/11/2000;1506,59
9/12/2000;1502,14
9/13/2000;1482,24
9/14/2000;1497,65
9/15/2000;1493,56
9/18/2000;1471,63
9/19/2000;1470,8
9/20/2000;1448,82
9/21/2000;1420,31
9/22/2000;1424,17
9/25/2000;1439,29
9/26/2000;1425,39
9/27/2000;1430,76
9/28/2000;1428,96
9/29/2000;1424,77
10/2/2000;1440,98
10/3/2000;1450,7
10/4/2000;1435,99
10/5/2000;1443,93
10/6/2000;1425,69
10/9/2000;1396,08
10/10/2000;1399,77
10/11/2000;1364,53
10/12/2000;1363,86
10/13/2000;1378,64
10/16/2000;1382,9
10/17/2000;1371,5
10/18/2000;1348,32
10/19/2000;1391,52
10/20/2000;1405,93
10/23/2000;1414,13
10/24/2000;1450,19
10/25/2000;1437,88
10/26/2000;1428,02
10/27/2000;1445,32
10/30/2000;1448,2
10/31/2000;1467,9
11/1/2000;1473,27
11/2/2000;1475,36
11/3/2000;1477,61
11/6/2000;1476,6
11/7/2000;1471,93
11/8/2000;1464,03
11/9/2000;1451,8
11/10/2000;1426,89
11/13/2000;1400,9
11/14/2000;1448,05
11/15/2000;1459,06
11/16/2000;1446,42
11/17/2000;1431,73
11/20/2000;1400,12
11/21/2000;1413,07
11/22/2000;1381,61
11/23/2000;1396,66
11/24/2000;1422,94
11/27/2000;1425,57
11/28/2000;1408,71
11/29/2000;1409,54
11/30/2000;1373,39
12/1/2000;1388,6
12/4/2000;1358,84
12/5/2000;1405,69
12/6/2000;1398,85
12/7/2000;1400,27
12/8/2000;1401,98
12/11/2000;1426,82
12/12/2000;1420,09
12/13/2000;1402,02
12/14/2000;1379,65
12/15/2000;1352,22
12/18/2000;1356,95
12/19/2000;1378,69
12/20/2000;1330,7
12/21/2000;1323,08
12/22/2000;1332,07
12/25/2000;1332,07
12/26/2000;1332,07
12/27/2000;1348,44
12/28/2000;1359,22
12/29/2000;1360,69
1/1/2001;1360,69
1/2/2001;1338,12
1/3/2001;1325,32
1/4/2001;1351,24
1/5/2001;1346,45
1/8/2001;1339,94
1/9/2001;1326,26
1/10/2001;1319,07
1/11/2001;1342,52
1/12/2001;1360,17
1/15/2001;1362,85
1/16/2001;1344,31
1/17/2001;1373,4
1/18/2001;1367,15
1/19/2001;1360,75
1/22/2001;1364,92
1/23/2001;1362,03
1/24/2001;1372,23
1/25/2001;1374,88
1/26/2001;1371,5
1/29/2001;1369,9
1/30/2001;1365,71
1/31/2001;1379,32
2/1/2001;1359,72
2/2/2001;1346,01
2/5/2001;1343,16
2/6/2001;1353,76
2/7/2001;1331,52
2/8/2001;1337,36
2/9/2001;1315,66
2/12/2001;1329,42
2/13/2001;1326,57
2/14/2001;1303,63
2/15/2001;1320,33
2/16/2001;1294,86
2/19/2001;1293,01
2/20/2001;1283,86
2/21/2001;1265,29
2/22/2001;1248,49
2/23/2001;1218,59
2/26/2001;1240,49
2/27/2001;1246,37
2/28/2001;1243,8
3/1/2001;1230,62
3/2/2001;1231,95
3/5/2001;1245,29
3/6/2001;1265,02
3/7/2001;1267,12
3/8/2001;1254,39
3/9/2001;1242,13
3/12/2001;1208,89
3/13/2001;1200,31
3/14/2001;1182,2
3/15/2001;1201,73
3/16/2001;1174,97
3/19/2001;1166,66
3/20/2001;1188,42
3/21/2001;1161,79
3/22/2001;1112,78
3/23/2001;1143,83
3/26/2001;1182,99
3/27/2001;1209,27
3/28/2001;1190,04
3/29/2001;1192,84
3/30/2001;1197,78
4/2/2001;1197,74
4/3/2001;1154,62
4/4/2001;1164,86
4/5/2001;1193,93
4/6/2001;1188,64
4/9/2001;1203,66
4/10/2001;1233,43
4/11/2001;1238,74
4/12/2001;1240,64
4/13/2001;1240,64
4/16/2001;1240,64
4/17/2001;1230,13
4/18/2001;1272
4/19/2001;1267,94
4/20/2001;1258,23
4/23/2001;1242,07
4/24/2001;1253,46
4/25/2001;1251,17
4/26/2001;1262,24
4/27/2001;1280,75
4/30/2001;1296,87
5/1/2001;1297,37
5/2/2001;1287,66
5/3/2001;1261,07
5/4/2001;1262,71
5/7/2001;1268,71
5/8/2001;1267,4
5/9/2001;1259,12
5/10/2001;1285,57
5/11/2001;1276,28
5/14/2001;1262,51
5/15/2001;1269,01
5/16/2001;1266,77
5/17/2001;1281,53
5/18/2001;1290,53
5/21/2001;1292,96
5/22/2001;1302,11
5/23/2001;1290,48
5/24/2001;1296,51
5/25/2001;1280,89
5/28/2001;1285,12
5/29/2001;1272,8
5/30/2001;1251,86
5/31/2001;1256,16
6/1/2001;1252,13
6/4/2001;1256,3
6/5/2001;1273,43
6/6/2001;1267,69
6/7/2001;1262,51
6/8/2001;1263,83
6/11/2001;1256,34
6/12/2001;1221,68
6/13/2001;1233,78
6/14/2001;1216,82
6/15/2001;1202,61
6/18/2001;1186,9
6/19/2001;1194,01
6/20/2001;1187,08
6/21/2001;1184,86
6/22/2001;1193,09
6/25/2001;1195,6
6/26/2001;1176,63
6/27/2001;1172,47
6/28/2001;1187,67
6/29/2001;1207,32
7/2/2001;1223,15
7/3/2001;1207,88
7/4/2001;1199,55
7/5/2001;1192,59
7/6/2001;1162,56
7/9/2001;1163,97
7/10/2001;1153,47
7/11/2001;1138,81
7/12/2001;1148,99
7/13/2001;1157,16
7/16/2001;1149,76
7/17/2001;1142,5
7/18/2001;1121,45
7/19/2001;1143,16
7/20/2001;1131,72
7/23/2001;1140,07
7/24/2001;1127,74
7/25/2001;1108,05
7/26/2001;1121,75
7/27/2001;1141,92
7/30/2001;1157,84
7/31/2001;1170,25
8/1/2001;1171,93
8/2/2001;1166,05
8/3/2001;1154,43
8/6/2001;1159,31
8/7/2001;1160,01
8/8/2001;1142,57
8/9/2001;1119,97
8/10/2001;1106,06
8/13/2001;1118,1
8/14/2001;1131,24
8/15/2001;1122,77
8/16/2001;1110,74
8/17/2001;1087,02
8/20/2001;1086,93
8/21/2001;1094,51
8/22/2001;1094,18
8/23/2001;1100,75
8/24/2001;1120,71
8/27/2001;1120,75
8/28/2001;1101,92
8/29/2001;1104,04
8/30/2001;1077,43
8/31/2001;1077,28
9/3/2001;1062,17
9/4/2001;1074,23
9/5/2001;1048,74
9/6/2001;1021,69
9/7/2001;999,06
9/10/2001;992,12
9/11/2001;926,88
9/12/2001;935,74
9/13/2001;944,61
9/14/2001;889,11
9/17/2001;914,44
9/18/2001;908,38
9/19/2001;885,11
9/20/2001;846,97
9/21/2001;824,47
9/24/2001;877,12
9/25/2001;886,01
9/26/2001;901,69
9/27/2001;913,44
9/28/2001;941,4
10/1/2001;919,72
10/2/2001;933,66
10/3/2001;936,18
10/4/2001;970,68
10/5/2001;958,3
10/8/2001;960,33
10/9/2001;960,82
10/10/2001;991,6
10/11/2001;1003,88
10/12/2001;997,66
10/15/2001;970,72
10/16/2001;987,71
10/17/2001;1007,96
10/18/2001;989,13
10/19/2001;973,67
10/22/2001;994,32
10/23/2001;1022,35
10/24/2001;1031,45
10/25/2001;1006,76
10/26/2001;1030,65
10/29/2001;1006,86
10/30/2001;975,79
10/31/2001;992,48
11/1/2001;1000,3
11/2/2001;997,94
11/5/2001;1027,27
11/6/2001;1022,47
11/7/2001;1035,58
11/8/2001;1059,6
11/9/2001;1043,5
11/12/2001;1016,76
11/13/2001;1055,66
11/14/2001;1054,77
11/15/2001;1057,04
11/16/2001;1065,41
11/19/2001;1081,73
11/20/2001;1067,25
11/21/2001;1061,79
11/22/2001;1073,51
11/23/2001;1073,85
11/26/2001;1068,44
11/27/2001;1050,58
11/28/2001;1036,66
11/29/2001;1037,57
11/30/2001;1047,03
12/3/2001;1043,33
12/4/2001;1055,65
12/5/2001;1093
12/6/2001;1094,53
12/7/2001;1084,5
12/10/2001;1064,46
12/11/2001;1069,25
12/12/2001;1055,28
12/13/2001;1032,16
12/14/2001;1021,34
12/17/2001;1054,09
12/18/2001;1051,28
12/19/2001;1043,2
12/20/2001;1033,49
12/21/2001;1054,53
12/24/2001;1054,91
12/25/2001;1054,91
12/26/2001;1054,91
12/27/2001;1076,5
12/28/2001;1083,65
12/31/2001;1083,85
1/1/2002;1083,85
1/2/2002;1070,78
1/3/2002;1092
1/4/2002;1090,14
1/7/2002;1074,19
1/8/2002;1066,18
1/9/2002;1068,98
1/10/2002;1053,22
1/11/2002;1061,12
1/14/2002;1032,77
1/15/2002;1045,48
1/16/2002;1029,71
1/17/2002;1048,66
1/18/2002;1044,96
1/21/2002;1034,91
1/22/2002;1038,48
1/23/2002;1047,46
1/24/2002;1063,43
1/25/2002;1060,9
1/28/2002;1070,9
1/29/2002;1057,05
1/30/2002;1041,44
1/31/2002;1052,61
2/1/2002;1055,71
2/4/2002;1038,18
2/5/2002;1016,97
2/6/2002;1002,25
2/7/2002;1010,15
2/8/2002;1006,94
2/11/2002;1019,35
2/12/2002;1016,43
2/13/2002;1024,99
2/14/2002;1037,38
2/15/2002;1022,18
2/18/2002;1016,7
2/19/2002;993,56
2/20/2002;989,93
2/21/2002;1001,89
2/22/2002;988,33
2/25/2002;1005,69
2/26/2002;1013,59
2/27/2002;1032,8
2/28/2002;1041,09
3/1/2002;1046,81
3/4/2002;1075,59
3/5/2002;1071,56
3/6/2002;1075,81
3/7/2002;1080,97
3/8/2002;1087,18
3/11/2002;1081,32
3/12/2002;1071,01
3/13/2002;1066,04
3/14/2002;1068,86
3/15/2002;1081,1
3/18/2002;1088,11
3/19/2002;1093,4
3/20/2002;1079,22
3/21/2002;1073,4
3/22/2002;1079,44
3/25/2002;1071,31
3/26/2002;1076,81
3/27/2002;1076,47
3/28/2002;1090,35
3/29/2002;1090,35
4/1/2002;1090,35
4/2/2002;1079,36
