Dates;S&P_500_INDEX
9/1/2000;1520,77
9/4/2000;1520,77
9/5/2000;1507,08
9/6/2000;1492,25
9/7/2000;1502,51
9/8/2000;1494,5
9/11/2000;1489,26
9/12/2000;1481,99
9/13/2000;1484,91
9/14/2000;1480,87
9/15/2000;1465,81
9/18/2000;1444,51
9/19/2000;1459,9
9/20/2000;1451,34
9/21/2000;1449,05
9/22/2000;1448,72
9/25/2000;1439,03
9/26/2000;1427,21
9/27/2000;1426,57
9/28/2000;1458,29
9/29/2000;1436,51
10/2/2000;1436,23
10/3/2000;1426,46
10/4/2000;1434,32
10/5/2000;1436,28
10/6/2000;1408,99
10/9/2000;1402,03
10/10/2000;1387,02
10/11/2000;1364,59
10/12/2000;1329,78
10/13/2000;1374,17
10/16/2000;1374,62
10/17/2000;1349,97
10/18/2000;1342,13
10/19/2000;1388,76
10/20/2000;1396,93
10/23/2000;1395,78
10/24/2000;1398,13
10/25/2000;1364,9
10/26/2000;1364,44
10/27/2000;1379,58
10/30/2000;1398,66
10/31/2000;1429,4
11/1/2000;1421,22
11/2/2000;1428,32
11/3/2000;1426,69
11/6/2000;1432,19
11/7/2000;1431,87
11/8/2000;1409,28
11/9/2000;1400,14
11/10/2000;1365,98
11/13/2000;1351,26
11/14/2000;1382,95
11/15/2000;1389,81
11/16/2000;1372,32
11/17/2000;1367,72
11/20/2000;1342,62
11/21/2000;1347,35
11/22/2000;1322,36
11/23/2000;1322,36
11/24/2000;1341,77
11/27/2000;1348,97
11/28/2000;1336,09
11/29/2000;1341,91
11/30/2000;1314,95
12/1/2000;1315,23
12/4/2000;1324,97
12/5/2000;1376,54
12/6/2000;1351,46
12/7/2000;1343,55
12/8/2000;1369,89
12/11/2000;1380,2
12/12/2000;1371,18
12/13/2000;1359,99
12/14/2000;1340,93
12/15/2000;1312,15
12/18/2000;1322,74
12/19/2000;1305,6
12/20/2000;1264,74
12/21/2000;1274,86
12/22/2000;1305,97
12/25/2000;1305,97
12/26/2000;1315,19
12/27/2000;1328,92
12/28/2000;1334,22
12/29/2000;1320,28
1/1/2001;1320,28
1/2/2001;1283,27
1/3/2001;1347,56
1/4/2001;1333,34
1/5/2001;1298,35
1/8/2001;1295,86
1/9/2001;1300,8
1/10/2001;1313,27
1/11/2001;1326,82
1/12/2001;1318,32
1/15/2001;1318,32
1/16/2001;1326,65
1/17/2001;1329,47
1/18/2001;1347,97
1/19/2001;1342,54
